song,artist,url,lyrics
A Glass Can Only Spill What It Contains,mewithoutYou,https://genius.com/Mewithoutyou-a-glass-can-only-spill-what-it-contains-lyrics,"A cat came drifting ontoMy porch from the outside coldAnd with eyes closed, drinkingWarm milk from my bowlThought: ""Nobody hears me, nobody hears me'Cause I crept in so soft!And nobody sees me, nobody sees me""As I watched six steps offLike the peacocks wanderingThe walkways of the zooWho have twice the autonomyThe giraffes and tigers doSaying:""No one can stop me, no one can stop me!No one clips my claws!Now everyone watch me, everyone watch meScale these outside walls!""Oh, you pious and profanePut away your praise and blame""A glass can only spill what it contains!""To the perpetually plainAnd the incurably inane""A glass can only spill what it contains!""What new mystery is this?What blessed backwardness?The Immeasurable one is held and does not resist!Struck by wicked words and foolish fists of senseless menThe Almighty One does not defend!I'm halfway listening to what she thinks she knowsWe're like children dressing in our parents clothes saying:""Nobody knows me, nobody knows meNo one knows my name!No, Nobody knows me, nobody knows meNobody knows me... ""I half-heartedly explainedBut gave up peacefully ashamed""As a glass can only spill what it contains!""We went from Portugal and SpainAnd in her mind the entire time it rained!""A glass can only spill what it contains!"""
In A Sweater Poorly Knit,mewithoutYou,https://genius.com/Mewithoutyou-in-a-sweater-poorly-knit-lyrics,"In a sweater poorly knit and an unsuspecting smileLittle Moses drifts downstream in the NileA fumbling reply, an awkward rigid laughAnd I'm carried helpless by my floating basket raftYour flavor in my mind's back and forth betweenSweeter than any wine, as bitter as mustard greensAnd it's light and dark as honeydew and pumpernickel breadThe trap I set for you seems to have caught my leg insteadGo plow some other field, and try and forget my nameWe'll see what harvest yields, and, supposing I'd do the sameI planted rows of peas, by the first week of JulyThey should have come up to my kneesBut they were maybe ankle highTake the fingers from your flute to weave your colored yarnsAnd boil down your fruit to preserves in mason jarsAnd the books are overdue and the goats are underfedThe trap I set for you seems to have caught my leg insteadYou're a door-without-a-key, a field-without-a-fenceYou made a holy fool of me and I've thanked you ever sinceAnd if she comes circling back we'll end where we'd begunLike two pennies on the train track the train crushed into oneBut if I'm a crown without a king, if I'm a broken open seedIf I come without a thing, then I come with all I needNo boat out in the blue, no place to rest your headThe trap I set for you seems to have caught my leg insteadI do not exist, I do not exist, I do not existI do not exist, I do not exist, I do not existI do not exist, I do not exist, I do not existI do not exist, only You exist, I do not exist"
Torches Together,mewithoutYou,https://genius.com/Mewithoutyou-torches-together-lyrics,"Why burn poor and lonelyUnder a bowl or under a lampshadeOr on the shelf beside the bedWhere at night you lay turning like a door on its hinges?First on your left sideThen on your right side...Then your left side againWhy burn poor and lonely?Tell all the stones we're gonna make a buildingWe'll be cut into shapeAnd set into placeOr if you'd rather be a windowI'll gladly be the frameReflecting any kind wordsWe'll let in all the blameAnd ruin our reputation all the sameSo never mind our plan makingWe'll start livingAnyway, aren't you unbearably sad?Then why burn so poor and lonely?We'll be like torches!We'll be like torches!We'll be like torches... Oh!We'll be torches together...Torches together!We'll be like torches!We'll be like torchesWith whatever respectOur tattered dignity demandsTorches together, hand in handWhy pluck one stringWhat good is just one note?Oh, one string sounds fine, I guess, butWe were once 'one note'We were lonely wheatQuietly ground into grainWhat light and momentary pain!So why the safe distanceThis curious look?Why tear out single pagesWhen you can throw away the book?Why pluck one stringWhen you can strum the guitar?Strum the guitar!Strum the guitar!Strum the guitarWith no beginning, with no endingTake down the guitar and strum the guitar!Strum the guitar if you're afraidAnd I'm afraid and everyone's afraid and everyone knows itBut we don't have to be afraid anymore"
Jan-79,mewithoutYou,https://genius.com/Mewithoutyou-january-1979-lyrics,"January 1979,Saw a terrible crash(and I couldn't help but laugh)My ear pressed against the pastLike a glass on a wall of a house in a photographMy forehead no longer sweetWith holy kissesWorthy of your fiery lipsI was floating in a peaceful seaRescued by a sinking shipIf I could become the servant of allNo lower place to fall(If I could be your servant)If I could become the servant of allNo lower place to fall(If I could be your servant)If I could become the servant of allNo lower place to fall(I could be your servant)If I could become the servant of allNo lower place to fall(If I could be your servant)You watch me like a ten car highway wreckWith detached, vulgar curiosityThis looking down on the tops of the hatsOf us passersby from your seventh floor balconyAnd from such a height you missedCreatures too small for sight carry on covert conversationAs the misguided insects crown me their grasshopper kingWith a dance of celebrationAfter years with their crown on my headI've grown overfed, unconcernedAnd comfortably numbKept busy indulging in the pleasures of the wealthy(Oh, someone make me afraid of what I've become!)At the first sign of possible sorrowI'll turn my heel and run, (Oh, I'll never learn)My life's a cup of sugar I borrowedBefore time began and forgot to return"
Seven Sisters,mewithoutYou,https://genius.com/Mewithoutyou-four-fires-lyrics,"Dear seven sisters,All is distance hereAll look into never out of every faceI'll let you be my belief if I can be your doubtSigned from Persia:Kind subversion of a kind I couldn't sayAs our blessed lack of conversationHas kept me alive so far todayAll my savings soon were spentSo in the vales of early FallUnder tables, covered rentBy packing bales of barley strawWith efforts held to circumventThe watchful eye of federal lawAnd mama, though I've been so aloneMy faith in love is still devout!My faith in love is still devout!My faith in love is still devout!My faith in love is still devout!With solemn sounds the potter's groundBeneath our bare wandering feetOur crooked hearts in Sacred HarpSang out of the dark inside us deepTheir shapes of sorrow fell like shadowsOn the farm-to-market roadsThat led my stumbling steps back homeBut mama why four fires burning?Why so quiet Father's room?Has he not heard his son returning?Or has he gone to gather food?Or is he stomping in the forest?Or has he wandered into town?""Son, I think it's best that you sit down-His faith in love was still devout...""His faith in love was still devout!His faith in love was still devout!His faith in love was still devout!"
Paper Hanger,mewithoutYou,https://genius.com/Mewithoutyou-paper-hanger-lyrics,"Her not one motion or gesture could I forgetThe prettiest bag lady I ever metPushing her cart in the rainThen gathering plastic and glassShe watched the day passNot hour by hour... but pain by painAnd I was a basket filled with holesAnd she was the sand I tried to holdThat ran out behind meAs I swung at some invisible handI stopped believing, you start to move(She was like wine turned to water then turned back to wine)I stopped my leaving and the better man bloomed(And you can pour us out and we won't mind)I was dead then aliveShe was like wine turned to water then turned back to wineYou can pour us out, we won't mindA scratch around the mouth of the glassMy life is no longer mineAnd if you're still looking for a blanket, sweetieI'm sorry, I'm no sort of fabricBut if you need a tailorThen take your torn shirtAnd stumble up my stairsAnd mumble your pitiful prayersAnd in your tangled, knotted sleepOur midnight needles go to workUntil all comfort and fearFlows in one riverDown in the shop by the mirrorWhere you see yourself wholeAnd it makes you shiver"
"My Exit, Unfair",mewithoutYou,https://genius.com/Mewithoutyou-my-exit-unfair-lyrics,"My exit unobservedAnd my homesickness absurdI said ""water"" expecting the Word would satisfy my thirstTalking all about the second and thirdWhen I haven't understood the firstJonah, where's that boat going...Your ship set with eager sails?There's a swirling storm soon blowingAnd no use, fishermenIn rowing from the consecrated whale!And just like the cloudsThey bring a darknessAnd a hard rain's going to fallI felt the crowdBring a loneliness and a hard rainA hard rain's going to fallAnd she'd always weigh me downBut, afraid I might need herI dragged her aroundIt's best to keep close sackcloth and ashIn a whitewashed townShe wore that phony smile on her faceI guess like a bandage on a wounded placeWhile I kept the keys to every old lock just in caseRehearsed indifference tossed asideOur narrow arms spread wideWhat unseen pen etched eternal thingsOn the hearts of human kindBut never let them in our minds?Oh, the clouds they brought a darknessAnd a hard rain's gonna fallAnd all my laughter ends in emptinessAnd a hard rain's gonna fallMy every medicine causes more illnessAnd a hard rain's gonna fallAnd until I let you goOh, I didn't knowYou were never mineYou were never mine at all"
Son Of A Widow,mewithoutYou,https://genius.com/Mewithoutyou-son-of-a-widow-lyrics,"I'll ring Your doorbellUntil You let me inAnd I can no longer tellWhere ""You"" end and ""I"" beginGrape on the vine, grape on the vineWe've been alone a long timeGrape on the vine... why not be crushed to make wine?Pay no attention to meDancing with my girlWith every intention to beFailures in this worldGrape on the vine, grape on the vineWe've been alone a long timeGrape on the vine... why not be crushed to make wine?Six of my closest friendsWill dig up the groundAll my accomplishmentsGently lowered downGrape on the vine, grape on the vineWe've been alone a long timeGrape on the vine...All is the same to the soulsOf those so much resignedGrape on the vine, grape on the vineWe've been alone a long timeGrape on the vine, grape on the vine"
Bullet To Binary,mewithoutYou,https://genius.com/Mewithoutyou-bullet-to-binary-pt-two-lyrics,"Let us die, let us die!In dying we replyAnd lower our baskets downInto the open bedOf the fruit truck passing byAnd we can smile at each other againMe and my cantaloupe friendCast our cares at the couple of pearsPut a blueberry garland on an apple bedThe apple threw our half baked fearsLike a wooden shoe in the windmill gearThe turning stopped and we clearly sawThe flaws in that which finds the flawThe strawberry said to the tangerine""My face is red but our hats are green""Be it orchard or a curling vineThe son of yours is the Son that's mineYa Subhan AllahHayyul QayyumSubhannallahi Amma YassifunSallalah Wallah MuhammadYa Rabbi Sali Alaihi Wa SalimLettuce grows, lettuce growsIn neatly sectioned beds and rowsBut one day asked the gardenerTo be moved to where the eggplant goes""Reason being, I must confessI adore her shining purple dress""As the eggplant listened inShe wasn't offended but she wasn't impressedThe potato called from underground""You've got it all turned upside down!Does the rain that sent each spring anewTo fall on her not fall on you?You project on her your inward sceneShe's a blank external movie screenBut the One who looks out from your eyesLooks through hers and looks through mineWe all well knowWe're gonna reap what we sowWe all well knowWe're all gonna reap what we sowSo may we old fashionably suggestThe unmarried not undressWe well knowWe're gonna reap what we sowWe all well knowWe're gonna reap what we soWe all well knowWhat kind of crops are gonna growFrom each time you disrespect your parentsYou better hope we don't hear itWe who knowYou're gonna reap what you sowWe all well knowWe're gonna reap what we sowBut grace, we all knowCan take the place of all we oweSo why not, let's forgive everyone everywhere everythingAll the time everyone everywhere everythingAll the time everyone everywhere everythingAll the time"
Gentlemen,mewithoutYou,https://genius.com/Mewithoutyou-gentlemen-lyrics,"We never met, you and IWe were always insideWe were somewhere inside one anotherAnd I'll live without you, loveBut what good is one glove without the other?Still you only ask about my leavingOh but, honey, I had no choiceSo I call and(When you hear that heavy breathing)For that sound of your voiceBut you sit there silent, folded armsAnd look down as I walk byMy face has changedYou know it's meYou know by the stillness in my eyesCome and whisper in my ear""You're very pretty, dear,"" and, and""It'll be alright.""You're lying!But I don't mind tonightSo I wander and I wanderYour absence beating inside my chestI try but I can't rememberThe color of your eyesJust the shape of your dress!And through a garden overgrownOh, it's a long walk homeI said I'd not come backWell I'm coming backAnd you'd better be aloneSit there silent, folded armsAnd you smile as I walk byMy face has changedBut you know it's meYou know it's me!Come and whisper in my ear""My dear! My dear!""It'll be alrightIt'll be alrightIt'll be alrightIt'll be alrightIt'll be alrightIt'll be alrightIt'll be al- no, no!"
Another Head for Hydra,mewithoutYou,https://genius.com/Mewithoutyou-another-head-for-hydra-lyrics,"Rainbow Castle: brown bird, common bird - -How’s your little twig nest been?Brownbird: I heard you searched the hollow earthHave you finally found your long lost friend?Endless words of “a dream deferred”Wouldn’t have you look my waySo I made the rounds in GermantownThey could barely taste my pancreas that dayThe 28th, WillThe Lucky 8th, BillDid you win that Grammy, Will?Good for the landfillDid you beat Phil?Did you network well?You wanna circle SinaiAnother forty yearsHave I made myself?And myself clear?Still seduced by the child celebrity appealHave I made myself?Have I made myself?And myself clear?Brown eyes, brown eyesWhat do you see?Brown Eyes: brown eyes of an adult looking back at meBrown eyes, brown eyesWhat do you see?Brown Eyes: hazel eyes & a caterpillar book on my kneeNow you’re gonna explain to me about resilience and fragility?Circling SinaiAnother forty years?Have I made myself?And myself clear?Let’s watch the desert skyDo silent shapes appear?Have I made myself?In any way myself?Hold your children closeWhenever we come near?Speak in children’s proseFor those with ears to hear?You in the diving bellAtop the silver skylinePlay the victim wellWho’s the devil this time?The devil this time?The devil this time?"
Tortoises All the Way Down,mewithoutYou,https://genius.com/Mewithoutyou-tortoises-all-the-way-down-lyrics,"Watchmen w/ their eyes closed, ransom and a scripture by the picture of your faceMessages the rhymes chose, blueprint for contrition in a cigarette caseEverybody knows, sonEverybody knows what you’ve doneEverybody knows, sonEverybody knows exactly what you’ve doneCharles was alive then, towering like a mountain at the silver trumpet blastWilliam still alive till when our altars are all emptied of his offerings to the lastEverybody knows, sonEverybody knows just what you’ve doneEverybody knows, sonAnd so again it goes you can’t end what you’ve begunSurely as the sun early on the east side comesBefore my sleepless eyes your features metamorphosizeSurely as the sun early on the east side comesIf only you had known how soon you’d be on your ownHow suddenly they’d cast the stoneWhen the mouths of praise and blame start to sound the sameAnd you’ve asked they please not come back around& yet they happen by, you can offer my reply:“there’s tortoises all the way down.”Since the night you came dressed up in your righteous nameAll you claim to see doesn’t mean a thing to meSurely as the sun early on the east side comesI know I’m not the only oneWhose blindfold-and-a-scale-ship refused to sailAnd yet failed since each search for solid groundYou sing to me at night as the moving finger writesOn tortoises all the way downYou think that glass of wine could cancel half a line?But it won’t wash our words out this time& I’m not the only one who’s got nowhere to run"
"2,459 Miles",mewithoutYou,https://genius.com/Mewithoutyou-2459-miles-lyrics,"Living two-thousand-four-hundred fifty-nine miles from homeWhen again that line from Eleanor Rigby cuts me to the boneI’ve read “the Lord God said it is not good for man to be alone”But you can leave me anytimeSome damage done, we left for London with the sun low in the skyTo let St. Edward fix us breakfast if not otherwise obligedTo drown in doubts the future needs us, if by chance it should arriveYou can leave me anytimeEight sleepless days the scales of Libra weighed the stars to my designI looked around inside and all I saw were unsympathetic eyesI’ll tear my shirts and shatter windows, do my best to act surprisedIf you leave me anytimeYou can leave me anytime"
Pale Horse,mewithoutYou,https://genius.com/Mewithoutyou-chapelcross-towns-lyrics,"Let’s retire to our kneesWith our books as our graciousAnd kindly machinesOf concern take our placesGrow motorized treesBuild robotic facesWho smile on commandWho can mind their own businessWe’ll hold human handsAnd rest human feetIn the Chapelcross TownsOf the battle-scarred morningsFake leaves rustling soundsLay rattlesnake warningsFrom our homes undergroundYou can still hear them moaningDon’t cheat on your taxesBut as for your spousesDark secrets come outWith comma or withoutWhen the tired young kneesOf your father walked outTo the lord I disbelieveBut increase thou my doubtHe sat down in the leaflessnessA thousand more timesI went back on my wordBut I won’t go back this timeNeither bondsman nor freeBut a newspaper salesmenWho moves about words(e.g. “death do us part”)If our prayers are unheardWell, our prayers are unheard"
Watermelon Ascot,mewithoutYou,https://genius.com/Mewithoutyou-watermelon-ascot-lyrics,"Here again the chords clashAgain the half-pastCarrie Nation cut glassProhibition children of the have casteDark bar/lack of concentration camp of self harmFeel again the Dr. Bronner sermon on the soap jar(moral ABC's, ect.)Open as a bank vaultFocused on a passed faultNot-named Lot's craned neck-saltAnother clay mouse thrown into a potter's houseBait & switch hell pitch: Dutch BlitzVenus of a Gem StateCleaners of a blank slateOf metamorphic straight-lacedLatter Day Saint-faced speed it up a knotFeed: meat? no. Milk? no!PAPER COW: May it be soLIVING COW: Make it so!Low in the burst of a red dwarfstarNo one on earth will know who we areBlue ribbon pigs in a 4-H showNo one on earth must knowQuiet as the church-top lead roof thieves:No one on earth must knowCuster in his stone-drunk Bighorn's rolled-upJuliet shirtsleevesNo one on earth must knowNo one on earth must know!Counter-terror prophet in a watermelon ascotCoriander manna in the mortar of a joke C.I.ABeneath a Coatesville farm with incorruptible charmWe leaned ephemeral bones on everlasting arms4-behavior-frontal-lobe-a-universal-product-code-of-iridescent-Joseph-coat-hallucination-H showLow in the hearse after Red Cloud's WarNo one on earth will know who we wereBuried in beds of regrets at the eight-straight-Buffalo showNo one on earth must knowWhat have I to dread, what have I to fearLeaning on the everlasting arms;I have blessed peace with my Lord so nearLeaning on the everlasting armsO how bright the path grows from day to dayLeaning on the everlasting arms"
Red Cow,mewithoutYou,https://genius.com/Mewithoutyou-watermelon-ascot-lyrics,"Here again the chords clashAgain the half-pastCarrie Nation cut glassProhibition children of the have casteDark bar/lack of concentration camp of self harmFeel again the Dr. Bronner sermon on the soap jar(moral ABC's, ect.)Open as a bank vaultFocused on a passed faultNot-named Lot's craned neck-saltAnother clay mouse thrown into a potter's houseBait & switch hell pitch: Dutch BlitzVenus of a Gem StateCleaners of a blank slateOf metamorphic straight-lacedLatter Day Saint-faced speed it up a knotFeed: meat? no. Milk? no!PAPER COW: May it be soLIVING COW: Make it so!Low in the burst of a red dwarfstarNo one on earth will know who we areBlue ribbon pigs in a 4-H showNo one on earth must knowQuiet as the church-top lead roof thieves:No one on earth must knowCuster in his stone-drunk Bighorn's rolled-upJuliet shirtsleevesNo one on earth must knowNo one on earth must know!Counter-terror prophet in a watermelon ascotCoriander manna in the mortar of a joke C.I.ABeneath a Coatesville farm with incorruptible charmWe leaned ephemeral bones on everlasting arms4-behavior-frontal-lobe-a-universal-product-code-of-iridescent-Joseph-coat-hallucination-H showLow in the hearse after Red Cloud's WarNo one on earth will know who we wereBuried in beds of regrets at the eight-straight-Buffalo showNo one on earth must knowWhat have I to dread, what have I to fearLeaning on the everlasting arms;I have blessed peace with my Lord so nearLeaning on the everlasting armsO how bright the path grows from day to dayLeaning on the everlasting arms"
